Name,Age,NetWorth,,,,,,
Rakesh Jhunjhunwala,61,5600000000,,,,,,
Ken Langone,86,5800000000,,,,,,
Ludwig Merckle,57,5600000000,,,,,,
Sandra Ortega Mera,53,5900000000,,,,,,
Terrence Pegula,71,5800000000,,,,,,
Karen Pritzker,64,5700000000,,,,,,
Mitchell Rales,65,5700000000,,,,,,
Wolfgang Reimann,69,5800000000,,,,,,
Matthias Reimann-Andersen,57,5800000000,,,,,,
Stefan Reimann-Andersen,58,5800000000,,,,,,
Renate Reimann-Haas,70,5800000000,,,,,,
Ruan Liping,58,6000000000,,,,,,
Ruan Xueping,50,6000000000,,,,,,
Charles Simonyi,73,5700000000,,,,,,
John A. Sobrato & family,83,5500000000,,,,,,
David Steward,70,5800000000,,,,,,
Radovan Vitek,51,5700000000,,,,,,
Les Wexner & family,84,5700000000,,,,,,
Sam Zell,80,5900000000,,,,,,
Anthony Bamford & family,76,5300000000,,,,,,
Clive Calder,75,5700000000,,,,,,
Frits Goldschmeding,88,5400000000,,,,,,
Ananda Krishnan,84,5100000000,,,,,,
Joe Mansueto,65,5400000000,,,,,,
Odd Reitan & family,70,5400000000,,,,,,
Antony Ressler,60,5600000000,,,,,,
Tang Xiao'ou,54,4900000000,,,,,,
Tse Ping,70,5600000000,,,,,,
Ken Xie,59,5900000000,,,,,,
Tilman Fertitta,64,5700000000,,,,,,
Prajogo Pangestu,78,5500000000,,,,,,
"Edward Roski, Jr.",83,5100000000,,,,,,
Teddy Sagi,50,5500000000,,,,,,
Thomas Straumann,58,4700000000,,,,,,
David Sun,70,5300000000,,,,,,
John Tu,80,5300000000,,,,,,
Erich Wesjohann & family,76,5500000000,,,,,,
Xu Jinfu,58,4300000000,,,,,,
Alexander Abramov,63,6600000000,,,,,,
Neil Bluhm,84,5200000000,,,,,,
Don Hankey,78,5500000000,,,,,,
Jane Lauder,49,5200000000,,,,,,
Gwendolyn Sontheim Meyer,60,5700000000,,,,,,
John Reece,65,5300000000,,,,,,
Eric Smidt,62,5100000000,,,,,,
Viktor Vekselberg,65,5200000000,,,,,,
Ronald Wanek,81,5400000000,,,,,,
Rene Benko,45,5300000000,,,,,,
John Brown,87,5000000000,,,,,,
Chen Zhiping,46,5000000000,,,,,,
Andrew Currie,66,5300000000,,,,,,
Jim Davis & family,79,5200000000,,,,,,
Charles Dolan & family,95,5300000000,,,,,,
Tom Golisano,80,5400000000,,,,,,
Hui Wing Mau,71,5400000000,,,,,,
Daniel Kretinsky,46,5200000000,,,,,,
Massimiliana Landini Aleotti & family,79,5500000000,,,,,,
Joe Lewis,85,5400000000,,,,,,
Li Chunan,53,5100000000,,,,,,
Lin Muqin & family,58,4700000000,,,,,,
Shigenobu Nagamori,77,4900000000,,,,,,
Kjell Inge Rokke,63,5900000000,,,,,,
Wang Wenjing,57,3900000000,,,,,,
Chris Xu,38,5400000000,,,,,,
Samuel Yin,71,5200000000,,,,,,
M.A. Yusuff Ali,66,5000000000,,,,,,
Denise Coates,54,5200000000,,,,,,
Ken Fisher,71,5200000000,,,,,,
Peter Grogg,80,3700000000,,,,,,
Dietmar Hopp & family,82,5400000000,,,,,,
Sumet Jiaravanon,87,5000000000,,,,,,
Nathan Kirsh,90,5300000000,,,,,,
Forrest Li,44,4600000000,,,,,,
Rudolf Maag,76,4700000000,,,,,,
Gary Rollins,77,5500000000,,,,,,
Ugur Sahin,56,6300000000,,,,,,
Mark Scheinberg,48,5300000000,,,,,,
Shen Guojun,59,5300000000,,,,,,
Chip Wilson,65,5200000000,,,,,,
Zhang Yong,51,5900000000,,,,,,
James Chambers,65,4900000000,,,,,,
Chen Fashu,61,4800000000,,,,,,
Jaran Chiaravanont,92,4900000000,,,,,,
Ravi Jaipuria,67,6000000000,,,,,,
Koon Poh Keong,61,4200000000,,,,,,
Li Liangbin,54,4600000000,,,,,,
Liang Feng,53,5100000000,,,,,,
Wolfgang Marguerre & family,80,5100000000,,,,,,
Katharine Rayner,77,4900000000,,,,,,
Carlos Rodriguez-Pastor,63,4500000000,,,,,,
Margaretta Taylor,80,4900000000,,,,,,
You Xiaoping,64,4500000000,,,,,,
Eric Yuan & family,52,5600000000,,,,,,
Robert Bass,74,5200000000,,,,,,
Alexandre Behring,55,5000000000,,,,,,
Chan Laiwa & family,81,5000000000,,,,,,
Jeff Greene,67,5100000000,,,,,,
Montri Jiaravanont,91,4900000000,,,,,,
Charles B. Johnson,89,5100000000,,,,,,
Elizabeth Johnson,59,5100000000,,,,,,
Lin Bin,54,4600000000,,,,,,
Hiroshi Mikitani,57,3900000000,,,,,,
Isaac Perlmutter,79,4600000000,,,,,,
